model,model_display_name,metric,n_species,mean_delta,median_delta,improved_%
refit_sentinel,Sentinel GRAFT,lppd_test_norm,16,-0.02834711960234715,-0.11385523361292604,31.25
refit_sentinel,Sentinel GRAFT,biolith_ap_test,16,-0.015405252252427656,-0.022013242046226095,37.5
refit_sentinel,Sentinel GRAFT,biolith_roc_auc_test,16,-0.014528715059198241,-0.023424656148373746,25.0
refit_sentinel,Sentinel GRAFT,lr_map_test,16,-0.017691079051750498,0.00017513723249343305,50.0
refit_sentinel,Sentinel GRAFT,lr_mcc_test,16,-0.005558724693278052,-0.006035942587410281,31.25
refit_naip,NAIP GRAFT,lppd_test_norm,16,-0.0428631147786674,-0.09984142935359575,31.25
refit_naip,NAIP GRAFT,biolith_ap_test,16,-0.011995952639996385,-0.024509656143448202,31.25
refit_naip,NAIP GRAFT,biolith_roc_auc_test,16,-0.02104818197017773,-0.03833413392684215,25.0
refit_naip,NAIP GRAFT,lr_map_test,16,-0.02495060067561334,-0.002124618903166564,43.75
refit_naip,NAIP GRAFT,lr_mcc_test,16,-0.0024414059301983305,0.0,43.75
